case_id,customer_id,investigative_hypothesis,scenario_evidence,required_checks,reporting_decision,customer_action
CASE000001,C000550,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,CIRCULAR_TRANSFER: A short internal transfer cycle connected three synthetic customers.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000002,C000087,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,CIRCULAR_TRANSFER: A short internal transfer cycle connected three synthetic customers.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000003,C001180,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,CIRCULAR_TRANSFER: A short internal transfer cycle connected three synthetic customers. | DORMANT_REACTIVATION: A dormant-designated account recorded material new activity.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000004,C001508,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,CIRCULAR_TRANSFER: A short internal transfer cycle connected three synthetic customers.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000005,C001650,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,CIRCULAR_TRANSFER: A short internal transfer cycle connected three synthetic customers.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000006,C000050,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,CIRCULAR_TRANSFER: A short internal transfer cycle connected three synthetic customers.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000007,C001462,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,CIRCULAR_TRANSFER: A short internal transfer cycle connected three synthetic customers.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000008,C001216,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,CIRCULAR_TRANSFER: A short internal transfer cycle connected three synthetic customers.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000009,C000626,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,CIRCULAR_TRANSFER: A short internal transfer cycle connected three synthetic customers. | DORMANT_REACTIVATION: A dormant-designated account recorded material new activity.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000010,C001531,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,CIRCULAR_TRANSFER: A short internal transfer cycle connected three synthetic customers.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000011,C001786,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,CIRCULAR_TRANSFER: A short internal transfer cycle connected three synthetic customers.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
